Flow;FT617 Weir Water Flow;07.04.2025 01:50:23.657;0.00015833
None;Equipment Status (2);07.04.2025 01:50:23.657;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 02:50:24.787;0.00013833
Flow;FT617 Weir Water Flow;07.04.2025 02:50:24.787;0.00015
None;Equipment Status (2);07.04.2025 02:50:24.787;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 03:50:25.127;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 03:50:25.127;0.00016
None;Equipment Status (2);07.04.2025 03:50:25.127;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 04:50:21.157;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 04:50:21.157;0.00015833
None;Equipment Status (2);07.04.2025 04:50:21.157;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 05:50:22.407;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 05:50:22.407;0.00015833
None;Equipment Status (2);07.04.2025 05:50:22.407;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 06:50:23.417;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 06:50:23.417;0.00015833
None;Equipment Status (2);07.04.2025 06:50:23.417;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 07:28:00.380;9.5e-05
Flow;FT617 Weir Water Flow;07.04.2025 07:28:00.380;0.0001
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 07:28:05.633;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 07:28:05.633;0.00016
None;Equipment Status (2);07.04.2025 07:50:24.647;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 08:28:06.647;0.00014167
Flow;FT617 Weir Water Flow;07.04.2025 08:28:06.647;0.00015167
None;Equipment Status (2);07.04.2025 08:50:25.043;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 09:28:08.213;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 09:28:08.213;0.00015833
None;Equipment Status (2);07.04.2025 09:50:30.663;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 10:28:08.573;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 10:28:08.573;0.00016
None;Equipment Status (2);07.04.2025 10:50:31.483;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 10:51:32.783;0.00014167
Flow;FT617 Weir Water Flow;07.04.2025 10:51:32.783;0.00015167
None;Equipment Status (2);07.04.2025 10:51:32.783;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 11:51:33.817;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 11:51:33.817;0.00015833
None;Equipment Status (2);07.04.2025 11:51:33.817;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 12:51:30.767;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 12:51:30.767;0.00015833
None;Equipment Status (2);07.04.2025 12:51:30.767;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 13:51:30.967;0.00014167
Flow;FT617 Weir Water Flow;07.04.2025 13:51:30.967;0.00015
None;Equipment Status (2);07.04.2025 13:51:30.967;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 14:51:35.797;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 14:51:35.797;0.00015833
None;Equipment Status (2);07.04.2025 14:51:35.797;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 15:51:36.333;0.00015167
Flow;FT617 Weir Water Flow;07.04.2025 15:51:36.333;0.00015833
None;Equipment Status (2);07.04.2025 15:51:36.333;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 16:51:36.827;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 16:51:36.827;0.00015833
None;Equipment Status (2);07.04.2025 16:51:36.827;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 17:51:37.167;0.00014667
Flow;FT617 Weir Water Flow;07.04.2025 17:51:37.167;0.00015833
None;Equipment Status (2);07.04.2025 17:51:37.167;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 18:51:37.813;0.00014167
Flow;FT617 Weir Water Flow;07.04.2025 18:51:37.813;0.00015
None;Equipment Status (2);07.04.2025 18:51:37.813;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 19:51:34.683;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 19:51:34.683;0.00016
None;Equipment Status (2);07.04.2025 19:51:34.683;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 20:51:35.217;0.00015
Flow;FT617 Weir Water Flow;07.04.2025 20:51:35.217;0.00015833
None;Equipment Status (2);07.04.2025 20:51:35.217;2
None;Equipment Status (2);07.04.2025 21:51:39.833;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 21:51:39.850;0.00014167
Flow;FT617 Weir Water Flow;07.04.2025 21:51:39.850;0.00015
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 22:51:37.277;0.00014833
Flow;FT617 Weir Water Flow;07.04.2025 22:51:37.277;0.00015833
None;Equipment Status (2);07.04.2025 22:51:37.277;2
Flow;FT616 Packed Tower Water Flow (41);07.04.2025 23:51:41.360;0.00014667
Flow;FT617 Weir Water Flow;07.04.2025 23:51:41.360;0.00015667
None;Equipment Status (2);07.04.2025 23:51:41.360;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 00:51:42.710;0.00014167
Flow;FT617 Weir Water Flow;08.04.2025 00:51:42.710;0.00015
None;Equipment Status (2);08.04.2025 00:51:42.710;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 01:51:39.577;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 01:51:39.577;0.00015833
None;Equipment Status (2);08.04.2025 01:51:39.577;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 02:51:41.057;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 02:51:41.057;0.00015833
None;Equipment Status (2);08.04.2025 02:51:41.057;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 03:51:44.710;0.00015
Flow;FT617 Weir Water Flow;08.04.2025 03:51:44.710;0.00015833
None;Equipment Status (2);08.04.2025 03:51:44.710;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 04:51:45.230;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 04:51:45.230;0.00015833
None;Equipment Status (2);08.04.2025 04:51:45.230;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 05:51:46.953;0.00014167
Flow;FT617 Weir Water Flow;08.04.2025 05:51:46.953;0.00015
None;Equipment Status (2);08.04.2025 05:51:46.953;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 06:51:45.573;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 06:51:45.573;0.00015833
None;Equipment Status (2);08.04.2025 06:51:45.573;2
None;Equipment Status (2);08.04.2025 07:51:49.760;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 07:51:49.777;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 07:51:49.777;0.00015833
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 08:51:50.573;0.00014167
Flow;FT617 Weir Water Flow;08.04.2025 08:51:50.573;0.00015
None;Equipment Status (2);08.04.2025 08:51:50.573;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 09:51:52.120;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 09:51:52.120;0.00015833
None;Equipment Status (2);08.04.2025 09:51:52.120;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 10:51:50.050;0.00014667
Flow;FT617 Weir Water Flow;08.04.2025 10:51:50.050;0.00015833
None;Equipment Status (2);08.04.2025 10:51:50.050;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 10:52:09.740;0.00014
Flow;FT617 Weir Water Flow;08.04.2025 10:52:09.740;0.00015
None;Equipment Status (2);08.04.2025 10:52:09.740;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 11:52:10.600;0.00015
Flow;FT617 Weir Water Flow;08.04.2025 11:52:10.600;0.00016
None;Equipment Status (2);08.04.2025 11:52:10.600;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 12:52:11.267;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 12:52:11.267;0.00015833
None;Equipment Status (2);08.04.2025 12:52:11.267;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 13:52:15.657;0.00014667
Flow;FT617 Weir Water Flow;08.04.2025 13:52:15.657;0.00015833
None;Equipment Status (2);08.04.2025 13:52:15.657;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 14:52:16.297;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 14:52:16.297;0.00015833
None;Equipment Status (2);08.04.2025 14:52:16.297;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 15:52:16.857;0.00014
Flow;FT617 Weir Water Flow;08.04.2025 15:52:16.857;0.00015
None;Equipment Status (2);08.04.2025 15:52:16.857;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 16:52:16.670;0.00015
Flow;FT617 Weir Water Flow;08.04.2025 16:52:16.670;0.00015833
None;Equipment Status (2);08.04.2025 16:52:16.670;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 17:52:17.483;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 17:52:17.483;0.00015833
None;Equipment Status (2);08.04.2025 17:52:17.483;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 18:52:17.983;0.00014667
Flow;FT617 Weir Water Flow;08.04.2025 18:52:17.983;0.00015667
None;Equipment Status (2);08.04.2025 18:52:17.983;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 19:52:18.890;0.00014667
Flow;FT617 Weir Water Flow;08.04.2025 19:52:18.890;0.00015833
None;Equipment Status (2);08.04.2025 19:52:18.890;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 20:52:19.320;0.00014167
Flow;FT617 Weir Water Flow;08.04.2025 20:52:19.320;0.00015
None;Equipment Status (2);08.04.2025 20:52:19.320;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 21:52:18.180;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 21:52:18.180;0.00015833
None;Equipment Status (2);08.04.2025 21:52:18.180;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 22:52:22.133;0.00014833
Flow;FT617 Weir Water Flow;08.04.2025 22:52:22.133;0.00015833
None;Equipment Status (2);08.04.2025 22:52:22.133;2
Flow;FT616 Packed Tower Water Flow (41);08.04.2025 23:52:19.017;0.00014
Flow;FT617 Weir Water Flow;08.04.2025 23:52:19.017;0.00015
None;Equipment Status (2);08.04.2025 23:52:19.017;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 00:52:24.020;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 00:52:24.020;0.00015833
None;Equipment Status (2);09.04.2025 00:52:24.020;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 01:52:21.513;0.00014667
Flow;FT617 Weir Water Flow;09.04.2025 01:52:21.513;0.00015833
None;Equipment Status (2);09.04.2025 01:52:21.513;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 02:52:25.837;0.00014
Flow;FT617 Weir Water Flow;09.04.2025 02:52:25.837;0.00015
None;Equipment Status (2);09.04.2025 02:52:25.837;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 03:52:23.237;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 03:52:23.237;0.00015833
None;Equipment Status (2);09.04.2025 03:52:23.237;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 04:52:27.777;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 04:52:27.777;0.00015833
None;Equipment Status (2);09.04.2025 04:52:27.777;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 05:52:27.820;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 05:52:27.820;0.00015833
None;Equipment Status (2);09.04.2025 05:52:27.820;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 06:52:28.470;0.00015
Flow;FT617 Weir Water Flow;09.04.2025 06:52:28.470;0.00015833
None;Equipment Status (2);09.04.2025 06:52:28.470;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 07:52:30.043;0.00014
Flow;FT617 Weir Water Flow;09.04.2025 07:52:30.043;0.00015
None;Equipment Status (2);09.04.2025 07:52:30.043;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 08:52:30.097;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 08:52:30.097;0.00016
None;Equipment Status (2);09.04.2025 08:52:30.097;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 09:52:30.900;0.000145
Flow;FT617 Weir Water Flow;09.04.2025 09:52:30.900;0.000155
None;Equipment Status (2);09.04.2025 09:52:30.900;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 10:52:27.007;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 10:52:27.007;0.00015833
None;Equipment Status (2);09.04.2025 10:52:27.007;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 10:52:32.297;0.00015
Flow;FT617 Weir Water Flow;09.04.2025 10:52:32.297;0.00015833
None;Equipment Status (2);09.04.2025 10:52:32.297;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 11:52:38.647;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 11:52:38.647;0.00015833
None;Equipment Status (2);09.04.2025 11:52:38.647;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 12:52:39.980;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 12:52:39.980;0.00015833
None;Equipment Status (2);09.04.2025 12:52:39.980;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 13:52:39.097;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 13:52:39.097;0.00015833
None;Equipment Status (2);09.04.2025 13:52:39.097;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 14:52:40.460;0.00013833
Flow;FT617 Weir Water Flow;09.04.2025 14:52:40.460;0.00015
None;Equipment Status (2);09.04.2025 14:52:40.460;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 15:52:42.500;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 15:52:42.500;0.00015833
None;Equipment Status (2);09.04.2025 15:52:42.500;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 16:52:43.183;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 16:52:43.183;0.00015833
None;Equipment Status (2);09.04.2025 16:52:43.183;2
None;Equipment Status (2);09.04.2025 17:52:42.720;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 17:52:42.737;0.00014167
Flow;FT617 Weir Water Flow;09.04.2025 17:52:42.737;0.00015
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 18:52:44.567;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 18:52:44.567;0.00015833
None;Equipment Status (2);09.04.2025 18:52:44.567;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 19:52:43.313;0.00014167
Flow;FT617 Weir Water Flow;09.04.2025 19:52:43.313;0.00015
None;Equipment Status (2);09.04.2025 19:52:43.313;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 20:52:46.000;0.00015
Flow;FT617 Weir Water Flow;09.04.2025 20:52:46.000;0.00015833
None;Equipment Status (2);09.04.2025 20:52:46.000;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 21:52:44.173;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 21:52:44.173;0.00015833
None;Equipment Status (2);09.04.2025 21:52:44.173;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 22:52:43.243;0.00013833
Flow;FT617 Weir Water Flow;09.04.2025 22:52:43.243;0.00015
None;Equipment Status (2);09.04.2025 22:52:43.243;2
Flow;FT616 Packed Tower Water Flow (41);09.04.2025 23:52:48.327;0.00014833
Flow;FT617 Weir Water Flow;09.04.2025 23:52:48.327;0.00015833
None;Equipment Status (2);09.04.2025 23:52:48.327;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 00:52:45.397;0.00014
Flow;FT617 Weir Water Flow;10.04.2025 00:52:45.397;0.00014833
None;Equipment Status (2);10.04.2025 00:52:45.397;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 01:52:48.927;0.00014833
Flow;FT617 Weir Water Flow;10.04.2025 01:52:48.927;0.00015833
None;Equipment Status (2);10.04.2025 01:52:48.927;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 02:52:52.177;0.00015
Flow;FT617 Weir Water Flow;10.04.2025 02:52:52.177;0.00015833
None;Equipment Status (2);10.04.2025 02:52:52.177;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 03:52:53.477;0.00014167
Flow;FT617 Weir Water Flow;10.04.2025 03:52:53.477;0.00015
None;Equipment Status (2);10.04.2025 03:52:53.477;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 04:52:53.687;0.00015
Flow;FT617 Weir Water Flow;10.04.2025 04:52:53.687;0.00015833
None;Equipment Status (2);10.04.2025 04:52:53.687;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 05:52:51.337;0.00014667
Flow;FT617 Weir Water Flow;10.04.2025 05:52:51.337;0.00015667
None;Equipment Status (2);10.04.2025 05:52:51.337;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 06:52:55.257;0.00014833
Flow;FT617 Weir Water Flow;10.04.2025 06:52:55.257;0.00015833
None;Equipment Status (2);10.04.2025 06:52:55.257;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 07:52:56.083;0.00014833
Flow;FT617 Weir Water Flow;10.04.2025 07:52:56.083;0.00015667
None;Equipment Status (2);10.04.2025 07:52:56.083;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 08:52:56.503;0.00014167
Flow;FT617 Weir Water Flow;10.04.2025 08:52:56.503;0.00015167
None;Equipment Status (2);10.04.2025 08:52:56.503;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 09:52:58.510;0.00014833
Flow;FT617 Weir Water Flow;10.04.2025 09:52:58.510;0.00015833
None;Equipment Status (2);10.04.2025 09:52:58.510;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 10:52:56.643;0.00014833
Flow;FT617 Weir Water Flow;10.04.2025 10:52:56.643;0.00015833
None;Equipment Status (2);10.04.2025 10:52:56.643;2
Flow;FT616 Packed Tower Water Flow (41);10.04.2025 10:53:45.120;0.00014167
Flow;FT617 Weir Water Flow;10.04.2025 10:53:45.120;0.00015
None;Equipment Status (2);10.04.2025 10:53:45.120;2
